response_id,birth_year_roc,gender,city_raw,ideology_raw,party_id_raw,residency_status_raw,cross_strait_preference_raw,identity_category_raw,direct_support_unification,direct_pride_taiwan,direct_pride_china,education_years,employment_status_raw,work_type_raw,current_status_raw,home_language_raw,father_origin_raw,marital_status_raw,social_media_use_raw,follows_political_news_raw,main_news_source_raw,vote_2024_raw,social_class_raw,list_pride_treatment_indicator,list_independence_treatment_indicator,list_pride_treatment_arm,list_independence_treatment_arm,list_pride_taiwan_treatment_count,list_pride_china_treatment_count,list_pride_control_count,list_pride_taiwan_count,list_independence_treatment_count,list_independence_control_count
R_4clhIUh3ilw4Anv,74,女性,彰化縣,接近自由主義,不知道,本地出生公民,維持現狀，以後走向獨立,台灣人,不知道,同意,不同意,16,有工作,受雇替別人工作,,國語,台灣閩南人,單身,始終保持連線/上網狀態,有,電視,中下層,賴清德/蕭美琴,0,0,control,control,,,2,2,,1
R_4DV0vSqhWvd98xe,60,女性,桃園市,中立,國民黨,本地出生公民,維持現狀，以後走向統一,兩者都是,不同意,同意,同意,18,有工作,受雇於公家單位,,國語,大陸各省市人,已婚,一天數個小時,有,社交媒體,中上層,沒有投票/投廢票,1,1,taiwan_pride_treatment,independence_treatment,4,,,4,2,
R_4s5rxDk1TpjbALs,30,男性,新竹縣,中立,國民黨,本地出生公民,維持現狀，以後走向統一,兩者都是,不同意,同意,同意,9,有工作,受雇替別人工作,,國語,台灣客家人,已婚,一天數個小時,有,社交媒體,中上層,柯文哲/吳欣盈,0,0,control,control,,,3,3,,2
R_4Xpv2aLTvnKPUPj,52,男性,屏東縣,中立,不知道,本地出生公民,維持現狀，看情形再決定獨立或統一,兩者都是,不同意,不知道,同意,9,沒有工作,,退休,台語,台灣閩南人,已婚,一天數個小時,有,電視,中下層,沒有投票/投廢票,1,0,taiwan_pride_treatment,control,3,,,3,,1
R_4DZ8nOz0eBKn85b,65,男性,臺北市,中立,不知道,本地出生公民,維持現狀，看情形再決定獨立或統一,兩者都不是,不同意,不知道,不知道,14,有工作,受雇替別人工作,,台語,台灣閩南人,單身,一天數個小時,有,其他管道,中下層,侯友宜/趙少康,1,0,taiwan_pride_treatment,control,1,,,1,,2
R_4D2vczUVtxLdsc1,92,女性,臺中市,自由主義,國民黨,本地出生公民,永遠維持現狀,台灣人,不同意,同意,不同意,15,有工作,受雇替別人工作,,國語,台灣客家人,單身,一天數個小時,有,報刊雜誌(紙本或網路),中間層,沒有投票/投廢票,2,1,china_pride_treatment,independence_treatment,,2,,,2,
R_4mLckjYor8NUeSt,30,男性,臺中市,中立,國民黨,本地出生公民,維持現狀，以後走向統一,兩者都是,不同意,同意,同意,9,有工作,受雇替別人工作,,國語,台灣客家人,已婚,一天數個小時,有,社交媒體,中上層,柯文哲/吳欣盈,1,1,taiwan_pride_treatment,independence_treatment,3,,,3,2,
R_4jjM9w0bk9gdDlO,30,男性,苗栗縣,中立,國民黨,本地出生公民,維持現狀，以後走向統一,兩者都是,不同意,同意,同意,9,有工作,受雇替別人工作,,國語,台灣客家人,已婚,一天數個小時,有,社交媒體,中上層,賴清德/蕭美琴,0,1,control,independence_treatment,,,3,3,2,
R_4VbZC3bJYo3cPCN,92,男性,桃園市,接近自由主義,國民黨,本地出生公民,維持現狀，以後走向獨立,台灣人,同意,同意,不同意,24,有工作,在家族企業工作,,國語,台灣閩南人,單身,一天數個小時,有,報刊雜誌(紙本或網路),中上層,柯文哲/吳欣盈,2,1,china_pride_treatment,independence_treatment,,3,,,3,
R_4VSgx3Jtbww1pol,30,男性,南投縣,中立,國民黨,本地出生公民,維持現狀，以後走向統一,兩者都是,不同意,同意,同意,9,有工作,受雇替別人工作,,國語,台灣客家人,已婚,一天數個小時,有,社交媒體,中上層,賴清德/蕭美琴,1,0,taiwan_pride_treatment,control,3,,,3,,2
R_4c5awfufFaoY647,30,男性,臺南市,中立,國民黨,本地出生公民,維持現狀，以後走向統一,兩者都是,不同意,同意,同意,9,有工作,受雇替別人工作,,國語,台灣客家人,已婚,一天數個小時,有,社交媒體,中上層,賴清德/蕭美琴,0,0,control,control,,,3,3,,2
R_4aYyig8VDsP6yxX,30,男性,新竹縣,中立,國民黨,本地出生公民,維持現狀，以後走向統一,兩者都是,不同意,同意,同意,9,有工作,受雇替別人工作,,國語,台灣客家人,已婚,一天數個小時,有,社交媒體,中上層,賴清德/蕭美琴,2,1,china_pride_treatment,independence_treatment,,3,,,2,
R_4qF08Wqnx0zsRKD,79,女性,高雄市,保守主義,國民黨,本地出生公民,維持現狀，以後走向統一,兩者都是,不同意,同意,同意,16,有工作,受雇替別人工作,,台語,台灣原住民,已婚,始終保持連線/上網狀態,有,社交媒體,中上層,侯友宜/趙少康,0,1,control,independence_treatment,,,2,2,3,
R_4VpQ5BIpwiJi5nh,30,男性,宜蘭縣,中立,國民黨,本地出生公民,維持現狀，以後走向統一,兩者都是,不同意,同意,同意,9,有工作,受雇替別人工作,,國語,台灣客家人,已婚,一天數個小時,有,社交媒體,中上層,侯友宜/趙少康,1,1,taiwan_pride_treatment,independence_treatment,3,,,3,2,
R_4AMRvoFVdKw39hK,92,女性,臺北市,中立,不知道,本地出生公民,永遠維持現狀,兩者都是,不知道,不知道,不知道,13,沒有工作,,學生,國語,台灣閩南人,單身,始終保持連線/上網狀態,有,社交媒體,中間層,沒有投票/投廢票,1,1,taiwan_pride_treatment,independence_treatment,1,,,1,1,
R_4EPQuet35O3ucAj,72,女性,臺中市,接近保守主義,國民黨,本地出生公民,維持現狀，以後走向統一,兩者都是,不知道,同意,同意,16,有工作,受雇替別人工作,,國語,台灣閩南人,喪偶,始終保持連線/上網狀態,有,社交媒體,中間層,侯友宜/趙少康,0,1,control,independence_treatment,,,1,1,1,
R_40hHaE6iPZHloWf,61,女性,嘉義市,中立,不知道,本地出生公民,永遠維持現狀,台灣人,不同意,不知道,不知道,17,有工作,受雇替別人工作,,國語,台灣閩南人,已婚,始終保持連線/上網狀態,有,社交媒體,中間層,侯友宜/趙少康,0,0,control,control,,,2,2,,2
R_4qF3MEPIw0heNWh,56,女性,宜蘭縣,接近自由主義,台灣民眾黨,本地出生公民,維持現狀，以後走向獨立,台灣人,同意,不同意,不同意,18,有工作,受雇替別人工作,,國語,台灣閩南人,已婚,始終保持連線/上網狀態,有,報刊雜誌(紙本或網路),中間層,柯文哲/吳欣盈,2,0,china_pride_treatment,control,,3,,,,2
R_4JDshxBTo7KeT94,73,男性,新北市,保守主義,國民黨,本地出生公民,維持現狀，以後走向統一,台灣人,同意,同意,不同意,4,有工作,在家族企業工作,,國語,台灣閩南人,已婚,每天半小時到一個小時,有,社交媒體,中間層,賴清德/蕭美琴,2,1,china_pride_treatment,independence_treatment,,2,,,1,
R_4gtbZoEmggngWaZ,59,男性,臺南市,接近保守主義,國民黨,本地出生公民,維持現狀，以後走向統一,兩者都是,不同意,同意,同意,14,有工作,受雇替別人工作,,國語,台灣閩南人,已婚,每天半小時到一個小時,有,電視,中下層,侯友宜/趙少康,0,1,control,independence_treatment,,,2,2,2,
R_4oFSCLHRn6Hk4Hc,78,男性,臺中市,接近自由主義,台灣民眾黨,本地出生公民,永遠維持現狀,兩者都是,同意,不同意,不同意,15,有工作,受雇替別人工作,,台語,台灣閩南人,已婚,始終保持連線/上網狀態,有,社交媒體,中下層,柯文哲/吳欣盈,2,0,china_pride_treatment,control,,2,,,,2
