response_id,gender,birth_year,birth_place_raw,birth_place_english,border_region,capital_region,education_nk_raw,education_nk_english,father_party_member_raw,mother_party_member_raw,party_member_raw,year_defection,year_arrived_sk,reason_defection_raw,residence_sk_raw,education_sk_raw,unemployed_raw,retired_raw,political_orientation_raw,party_preference_raw,marital_status_raw,religion_raw,national_identity_strength,direct_sk_pride,direct_nk_pride,list_sk_pride_count,list_nk_pride_count,list_sk_pride_treatment_arm,list_nk_pride_treatment_arm
R_3CVGPqzsHEu84MY,여,1977,함경북도,North Hamgyong Province,1,0,"전문대학교 (2년) 졸업, 기술고급중학교","2-year technical college, vocational high school",예,예,아니오,2002,2002,돈을 더 많이 벌고 싶어서,서울,대학교,아니오,예,중도적,잘 모르겠다,기혼,기독교,10,매우 자랑스럽다,별로 자랑스럽지 않다,1,1,Q71|Q72,Q74|Q75
R_3h4qHYqzkYMVVou,여,1971,량강도,Ryanggang Province,1,0,고등중학교 고등반(4-6년) 졸업,Upper secondary (4-6 years),예,예,아니오,2019,2019,먼저 탈북한 가족을 찾거나 함께 살기 위해,경기도,기타(예:서당),예,,매우 보수적,국민의힘,과부,무교,7,어느 정도 자랑스럽다,전혀 자랑스럽지 않다,2,3,Q71|Q72,Q73|Q75
R_2QhTrkE2qfwTXM9,여,1981,량강도,Ryanggang Province,1,0,고등중학교 고등반(4-6년) 졸업,Upper secondary (4-6 years),예,아니오,아니오,2016,2016,신변의 위협을 느껴서,서울,대학교,아니오,아니오,중도적,국민의힘,기혼,기독교,,매우 자랑스럽다,별로 자랑스럽지 않다,1,1,Q70|Q72,Q73|Q75
R_12DY56FTijlq56V,여,1970,평안남도,South Pyongan Province,0,0,고등중학교 고등반(4-6년) 졸업,Upper secondary (4-6 years),예,아니오,아니오,2011,2011,먼저 탈북한 가족을 찾거나 함께 살기 위해,서울,고등학교,아니오,아니오,잘 모르겠다,잘 모르겠다,이혼,기독교,10,매우 자랑스럽다,전혀 자랑스럽지 않다,1,1,Q70|Q72,Q73|Q75
R_2EnKEqAG6MdODsE,여,1973,함경북도,North Hamgyong Province,1,0,고등중학교 고등반(4-6년) 졸업,Upper secondary (4-6 years),예,아니오,아니오,1997,2004,신변의 위협을 느껴서,경남,학교를 다시 다니지 않았다,아니오,예,매우 보수적,국민의힘,기혼,기독교,10,매우 자랑스럽다,별로 자랑스럽지 않다,2,2,Q70|Q72,Q73|Q75
R_27Oqk2hjvKVZ3zq,남,1958,강원도,Gangwon Province,0,0,대학교 (3-4년) 졸업,University (3-4 years),예,아니오,예,2006,2007,가족 (자녀 등)에게 더 나은 생활환경을 주려고,서울,대학교,예,,잘 모르겠다,잘 모르겠다,기혼,기독교,8,어느 정도 자랑스럽다,별로 자랑스럽지 않다,2,3,Q70|Q72,Q73|Q75
R_0NfDJ4j88YRV95v,여,1974,평안남도,South Pyongan Province,0,0,고등중학교 고등반(4-6년) 졸업,Upper secondary (4-6 years),예,아니오,아니오,2019,2010,돈을 더 많이 벌고 싶어서,서울,학교를 다시 다니지 않았다,예,,잘 모르겠다,더불어민주당,기혼,무교,10,어느 정도 자랑스럽다,별로 자랑스럽지 않다,1.3,4,Q70|Q72,Q73|Q75
R_2woddyWC5qm9x4z,여,1963,함경북도,North Hamgyong Province,1,0,"전문대학교 (2년) 졸업, 기술고급중학교","2-year technical college, vocational high school",예,아니오,아니오,2005,2006,가족 (자녀 등)에게 더 나은 생활환경을 주려고,서울,학교를 다시 다니지 않았다,예,,잘 모르겠다,잘 모르겠다,기혼,기독교,9,매우 자랑스럽다,별로 자랑스럽지 않다,2,3,Q70|Q72,Q73|Q75
R_dgoegfDtyDumwQp,여,1975,함경북도,North Hamgyong Province,1,0,고등중학교 고등반(4-6년) 졸업,Upper secondary (4-6 years),예,아니오,아니오,2004,2010,먼저 탈북한 사람(가족 제외)이 권유해서,서울,학교를 다시 다니지 않았다,아니오,예,다소 보수적,국민의힘,미혼,무교,10,매우 자랑스럽다,전혀 자랑스럽지 않다,0,2,Q70|Q72,Q73|Q75
R_296ekItug0QOg7C,여,1965,평안남도,South Pyongan Province,0,0,고등중학교 고등반(4-6년) 졸업,Upper secondary (4-6 years),예,아니오,아니오,2019,2019,북조선 체제의 감시통제가 싫어서 (자유를 찾아서),서울,학교를 다시 다니지 않았다,아니오,아니오,잘 모르겠다,잘 모르겠다,이혼,기독교,10,어느 정도 자랑스럽다,별로 자랑스럽지 않다,3,3,Q71|Q72,Q73|Q75
R_2ccnz8pLoMl6TXH,여,1957,함경남도,South Hamgyong Province,0,0,"전문대학교 (2년) 졸업, 기술고급중학교","2-year technical college, vocational high school",예,아니오,아니오,2003,2007,주변 사람(가족 제외)의 권유로,서울,학교를 다시 다니지 않았다,아니오,예,잘 모르겠다,국민의힘,과부,기독교,10,매우 자랑스럽다,전혀 자랑스럽지 않다,2,2,Q70|Q72,Q74|Q75
R_3KxpxD5tlI35vQp,여,1971,함경북도,North Hamgyong Province,1,0,고등중학교 고등반(4-6년) 졸업,Upper secondary (4-6 years),아니오,아니오,아니오,2006,2008,북조선 체제의 감시통제가 싫어서 (자유를 찾아서),서울,학교를 다시 다니지 않았다,아니오,예,중도적,국민의힘,동거,기독교,,매우 자랑스럽다,전혀 자랑스럽지 않다,3,3,Q70|Q72,Q73|Q75
R_1gzQVn4qCzXBMAj,여,1990,량강도,Ryanggang Province,1,0,인민학교 이하,Elementary or below,아니오,아니오,아니오,2015,2015,식량이 부족해서,경기도,학교를 다시 다니지 않았다,아니오,아니오,잘 모르겠다,국민의힘,과부,무교,10,매우 자랑스럽다,전혀 자랑스럽지 않다,3,1,Q70|Q72,Q73|Q75
R_3EPTYIwwNq5vcEc,여,1946,평안남도,South Pyongan Province,0,0,고등중학교 중등반(1-3년) 졸업,Lower secondary (1-3 years),아니오,아니오,아니오,1998,2006,식량이 부족해서,서울,학교를 다시 다니지 않았다,아니오,아니오,잘 모르겠다,잘 모르겠다,이혼,기독교,5,어느 정도 자랑스럽다,별로 자랑스럽지 않다,0,1,Q70|Q72,Q73|Q75
R_3rNdDVF8pVAIbW3,여,1980,함경남도,South Hamgyong Province,0,0,고등중학교 고등반(4-6년) 졸업,Upper secondary (4-6 years),예,아니오,아니오,2003,2005,식량이 부족해서,경기도,고등학교,아니오,예,잘 모르겠다,잘 모르겠다,기혼,무교,9,매우 자랑스럽다,전혀 자랑스럽지 않다,1,2,Q70|Q72,Q73|Q75
R_DGpLZjPR3P9Oupr,여,1965,황해북도,North Hwanghae Province,0,0,고등중학교 고등반(4-6년) 졸업,Upper secondary (4-6 years),아니오,아니오,아니오,1997,2002,신변의 위협을 느껴서,경기도,기타(예:서당),아니오,아니오,다소 보수적,국민의힘,기혼,기독교,8,매우 자랑스럽다,별로 자랑스럽지 않다,4,1,Q71|Q72,Q73|Q75
R_2e22XA1nOsz2LiV,남,1969,황해북도,North Hwanghae Province,0,0,고등중학교 고등반(4-6년) 졸업,Upper secondary (4-6 years),아니오,아니오,아니오,2007,2008,식량이 부족해서,서울,학교를 다시 다니지 않았다,아니오,아니오,중도적,잘 모르겠다,기혼,무교,9,어느 정도 자랑스럽다,별로 자랑스럽지 않다,2,2,Q71|Q72,Q74|Q75
R_24vljA27IsPdDfJ,여,1971,함경북도,North Hamgyong Province,1,0,고등중학교 고등반(4-6년) 졸업,Upper secondary (4-6 years),예,예,아니오,2009,2009,먼저 탈북한 가족을 찾거나 함께 살기 위해,인천,학교를 다시 다니지 않았다,아니오,아니오,잘 모르겠다,잘 모르겠다,기혼,천주교,10,매우 자랑스럽다,전혀 자랑스럽지 않다,3,3,Q71|Q72,Q74|Q75
R_3fDDrNN3l6NqEYK,남,1980,량강도,Ryanggang Province,1,0,대학교 (3-4년) 졸업,University (3-4 years),예,아니오,예,2018,2018,가족 (자녀 등)에게 더 나은 생활환경을 주려고,서울,대학교,아니오,아니오,매우 보수적,국민의힘,기혼,무교,10,매우 자랑스럽다,별로 자랑스럽지 않다,4,2,Q71|Q72,Q73|Q75
R_3KPL1QDt2YFiXNr,여,1960,량강도,Ryanggang Province,1,0,고등중학교 고등반(4-6년) 졸업,Upper secondary (4-6 years),아니오,아니오,아니오,2018,2018,신변의 위협을 느껴서,인천,고등학교,아니오,예,다소 보수적,국민의힘,과부,무교,,매우 자랑스럽다,별로 자랑스럽지 않다,2,4,Q70|Q72,Q73|Q75
R_2aqvzJHaKp0B1z1,여,1971,량강도,Ryanggang Province,1,0,고등중학교 고등반(4-6년) 졸업,Upper secondary (4-6 years),아니오,아니오,아니오,2019,2019,먼저 탈북한 가족을 찾거나 함께 살기 위해,경기도,학교를 다시 다니지 않았다,아니오,예,잘 모르겠다,한국의희망,과부,기독교,10,매우 자랑스럽다,전혀 자랑스럽지 않다,1,2,Q71|Q72,Q74|Q75
R_3hlMA3YY0O6XZSJ,여,1965,함경북도,North Hamgyong Province,1,0,고등중학교 고등반(4-6년) 졸업,Upper secondary (4-6 years),예,아니오,아니오,1999,2005,식량이 부족해서,서울,전문대학(기술 학교 포함),아니오,아니오,매우 보수적,국민의힘,과부,기독교,10,매우 자랑스럽다,전혀 자랑스럽지 않다,1,4,Q71|Q72,Q73|Q75
R_3GfW8Or7ERNo3Dq,여,1967,개성,Kaesong,0,0,고등중학교 고등반(4-6년) 졸업,Upper secondary (4-6 years),아니오,아니오,아니오,2005,2016,가족 (자녀 등)에게 더 나은 생활환경을 주려고,인천,기타(예:서당),아니오,예,중도적,잘 모르겠다,이혼,무교,10,매우 자랑스럽다,별로 자랑스럽지 않다,1,0,Q70|Q72,Q74|Q75
R_1jYUx5ZxklOqjFA,여,1983,함경북도,North Hamgyong Province,1,0,고등중학교 고등반(4-6년) 졸업,Upper secondary (4-6 years),예,아니오,아니오,2011,2012,주변 사람(가족 제외)의 권유로,경기도,대학원 이상,예,,중도적,기본소득당,기혼,기독교,5,어느 정도 자랑스럽다,별로 자랑스럽지 않다,3,3,Q70|Q72,Q73|Q75
R_Zw1rYwYThj90LEB,여,1968,량강도,Ryanggang Province,1,0,고등중학교 고등반(4-6년) 졸업,Upper secondary (4-6 years),예,예,아니오,2019,2019,북조선 체제의 감시통제가 싫어서 (자유를 찾아서),경기도,학교를 다시 다니지 않았다,아니오,아니오,중도적,국민의힘,기혼,기독교,10,매우 자랑스럽다,전혀 자랑스럽지 않다,1,1,Q70|Q72,Q73|Q75
R_1OqNJe5SyQZfyzI,여,1968,함경북도,North Hamgyong Province,1,0,고등중학교 고등반(4-6년) 졸업,Upper secondary (4-6 years),아니오,아니오,아니오,2009,2009,신변의 위협을 느껴서,인천,대학원 이상,아니오,아니오,다소 보수적,국민의힘,이혼,무교,7,어느 정도 자랑스럽다,별로 자랑스럽지 않다,2,2,Q71|Q72,Q74|Q75
R_DV1OOQ3SAfKsLvz,여,1973,함경북도,North Hamgyong Province,1,0,"전문대학교 (2년) 졸업, 기술고급중학교","2-year technical college, vocational high school",예,예,예,2013,2014,가족 (자녀 등)에게 더 나은 생활환경을 주려고,경기도,학교를 다시 다니지 않았다,아니오,아니오,중도적,더불어민주당,기혼,기독교,6,어느 정도 자랑스럽다,별로 자랑스럽지 않다,1,2,Q70|Q72,Q73|Q75
R_2fcv19HGqci716C,여,1988,평안북도,North Pyongan Province,1,0,고등중학교 고등반(4-6년) 졸업,Upper secondary (4-6 years),아니오,아니오,아니오,2018,2019,돈을 더 많이 벌고 싶어서,서울,학교를 다시 다니지 않았다,아니오,아니오,중도적,더불어민주당,기혼,무교,6,어느 정도 자랑스럽다,별로 자랑스럽지 않다,1,3,Q71|Q72,Q74|Q75
R_3IWrRoQDPsFOjql,여,1963,함경북도,North Hamgyong Province,1,0,고등중학교 고등반(4-6년) 졸업,Upper secondary (4-6 years),예,예,아니오,2014,2014,북조선 체제의 감시통제가 싫어서 (자유를 찾아서),서울,학교를 다시 다니지 않았다,아니오,아니오,잘 모르겠다,잘 모르겠다,과부,기독교,10,매우 자랑스럽다,전혀 자랑스럽지 않다,1,1,Q71|Q72,Q74|Q75
R_2P214YY3zy7oFye,여,1945,평안북도,North Pyongan Province,1,0,고등중학교 고등반(4-6년) 졸업,Upper secondary (4-6 years),예,예,예,2000,2009,식량이 부족해서,서울,학교를 다시 다니지 않았다,예,,잘 모르겠다,국민의힘,기혼,기독교,10,매우 자랑스럽다,전혀 자랑스럽지 않다,1,1,Q71|Q72,Q73|Q75
R_vZiSWLvOXZXPR1T,여,1944,평양,Pyongyang,0,1,고등중학교 고등반(4-6년) 졸업,Upper secondary (4-6 years),아니오,아니오,아니오,2006,2006,먼저 탈북한 가족을 찾거나 함께 살기 위해,서울,학교를 다시 다니지 않았다,예,,중도적,국민의힘,과부,기독교,6,매우 자랑스럽다,별로 자랑스럽지 않다,1,1,Q70|Q72,Q73|Q75
R_2feLKPsuC81RHjT,여,1957,강원도,Gangwon Province,0,0,"전문대학교 (2년) 졸업, 기술고급중학교","2-year technical college, vocational high school",예,아니오,예,2007,2012,식량이 부족해서,서울,전문대학(기술 학교 포함),예,,다소 보수적,국민의힘,과부,기독교,10,매우 자랑스럽다,별로 자랑스럽지 않다,2,2,Q71|Q72,Q74|Q75
R_pEOxLhi7FXhObyV,여,1950,평안북도,North Pyongan Province,1,0,고등중학교 중등반(1-3년) 졸업,Lower secondary (1-3 years),아니오,아니오,아니오,2013,2014,먼저 탈북한 가족을 찾거나 함께 살기 위해,서울,학교를 다시 다니지 않았다,예,,다소 진보적,더불어민주당,기혼,기독교,10,매우 자랑스럽다,별로 자랑스럽지 않다,1,2,Q70|Q72,Q74|Q75
R_2TRZkHtUOrhA3b2,여,1980,평안남도,South Pyongan Province,0,0,"전문대학교 (2년) 졸업, 기술고급중학교","2-year technical college, vocational high school",아니오,아니오,아니오,2010,2010,돈을 더 많이 벌고 싶어서,서울,대학교,아니오,아니오,중도적,국민의힘,기혼,기독교,7,어느 정도 자랑스럽다,별로 자랑스럽지 않다,1,2,Q70|Q72,Q74|Q75
R_WD7MiLYYB0Qhv8t,여,1977,평양,Pyongyang,0,1,"전문대학교 (2년) 졸업, 기술고급중학교","2-year technical college, vocational high school",아니오,아니오,아니오,2019,2022,북조선 체제의 감시통제가 싫어서 (자유를 찾아서),충남,학교를 다시 다니지 않았다,아니오,아니오,다소 진보적,더불어민주당,기혼,불교,4,어느 정도 자랑스럽다,별로 자랑스럽지 않다,0,0,Q71|Q72,Q74|Q75
R_3sibzEEIL76IM9Q,남,1975,평양,Pyongyang,0,1,대학교 (3-4년) 졸업,University (3-4 years),아니오,아니오,아니오,2010,2010,돈을 더 많이 벌고 싶어서,서울,대학교,아니오,아니오,다소 보수적,더불어민주당,기혼,무교,,매우 자랑스럽다,어느 정도 자랑스럽다,1,2,Q70|Q72,Q73|Q75
R_1LTLF4P2Xhj2kZr,여,1988,평안남도,South Pyongan Province,0,0,대학교 (3-4년) 졸업,University (3-4 years),아니오,아니오,아니오,2019,2021,주변 사람(가족 제외)의 권유로,경기도,학교를 다시 다니지 않았다,아니오,아니오,중도적,더불어민주당,기혼,기독교,7,어느 정도 자랑스럽다,어느 정도 자랑스럽다,0,0,Q70|Q72,Q73|Q75
R_dmVamlZvYSUAaGd,여,1986,량강도,Ryanggang Province,1,0,"전문대학교 (2년) 졸업, 기술고급중학교","2-year technical college, vocational high school",예,아니오,아니오,2014,2014,가족 (자녀 등)에게 더 나은 생활환경을 주려고,서울,대학교,아니오,예,잘 모르겠다,국민의힘,이혼,무교,8,어느 정도 자랑스럽다,별로 자랑스럽지 않다,1,2,Q71|Q72,Q74|Q75
